Артикул;Теплоотдача;Длина;Высота;Тип
RS1-B-T30-H0300-L1600;2304;1600;300;30
RS1-B-T30-H0300-L1700;2449;1700;300;30
RS1-B-T30-H0300-L1800;2592;1800;300;30
RS1-B-T30-H0300-L1900;2736;1900;300;30
RS1-B-T30-H0300-L2000;2881;2000;300;30
RS1-B-T30-H0300-L2100;3024;2100;300;30
RS1-B-T30-H0300-L2200;3168;2200;300;30
RS1-B-T30-H0300-L2300;3313;2300;300;30
RS1-B-T30-H0300-L2400;3456;2400;300;30
RS1-B-T30-H0300-L2500;3601;2500;300;30
RS1-B-T30-H0300-L2600;3745;2600;300;30
RS1-B-T30-H0300-L2700;3889;2700;300;30
RS1-B-T30-H0300-L2800;4033;2800;300;30
RS1-B-T30-H0300-L2900;4177;2900;300;30
RS1-B-T30-H0300-L3000;4321;3000;300;30
RS1-B-T30-H0400-L0400;715;400;400;30
RS1-B-T30-H0400-L0500;894;500;400;30
RS1-B-T30-H0400-L0600;1072;600;400;30
RS1-B-T30-H0400-L0700;1251;700;400;30
RS1-B-T30-H0400-L0800;1430;800;400;30
RS1-B-T30-H0400-L0900;1609;900;400;30
RS1-B-T30-H0400-L1000;1787;1000;400;30
RS1-B-T30-H0400-L1100;1966;1100;400;30
RS1-B-T30-H0400-L1200;2145;1200;400;30
RS1-B-T30-H0400-L1300;2323;1300;400;30
RS1-B-T30-H0400-L1400;2502;1400;400;30
RS1-B-T30-H0400-L1500;2681;1500;400;30
RS1-B-T30-H0400-L1600;2859;1600;400;30
RS1-B-T30-H0400-L1700;3037;1700;400;30
RS1-B-T30-H0400-L1800;3216;1800;400;30
RS1-B-T30-H0400-L1900;3395;1900;400;30
RS1-B-T30-H0400-L2000;3573;2000;400;30
RS1-B-T30-H0400-L2100;3752;2100;400;30
RS1-B-T30-H0400-L2200;3931;2200;400;30
RS1-B-T30-H0400-L2300;4110;2300;400;30
RS1-B-T30-H0400-L2400;4288;2400;400;30
RS1-B-T30-H0400-L2500;4467;2500;400;30
RS1-B-T30-H0400-L2600;4646;2600;400;30
RS1-B-T30-H0400-L2700;4825;2700;400;30
RS1-B-T30-H0400-L2800;5003;2800;400;30
RS1-B-T30-H0400-L2900;5182;2900;400;30
RS1-B-T30-H0400-L3000;5361;3000;400;30
RS1-B-T30-H0500-L0400;830;400;500;30
RS1-B-T30-H0500-L0500;1037;500;500;30
RS1-B-T30-H0500-L0600;1245;600;500;30
RS1-B-T30-H0500-L0700;1452;700;500;30
RS1-B-T30-H0500-L0800;1659;800;500;30
RS1-B-T30-H0500-L0900;1867;900;500;30
RS1-B-T30-H0500-L1000;2075;1000;500;30
RS1-B-T30-H0500-L1100;2282;1100;500;30
RS1-B-T30-H0500-L1200;2489;1200;500;30
RS1-B-T30-H0500-L1300;2697;1300;500;30
RS1-B-T30-H0500-L1400;2904;1400;500;30
RS1-B-T30-H0500-L1500;3112;1500;500;30
RS1-B-T30-H0500-L1600;3319;1600;500;30
RS1-B-T30-H0500-L1700;3526;1700;500;30
RS1-B-T30-H0500-L1800;3734;1800;500;30
RS1-B-T30-H0500-L1900;3942;1900;500;30
RS1-B-T30-H0500-L2000;4149;2000;500;30
RS1-B-T30-H0500-L2100;4356;2100;500;30
RS1-B-T30-H0500-L2200;4564;2200;500;30
RS1-B-T30-H0500-L2300;4771;2300;500;30
RS1-B-T30-H0500-L2400;4979;2400;500;30
RS1-B-T30-H0500-L2500;5186;2500;500;30
RS1-B-T30-H0500-L2600;5393;2600;500;30
RS1-B-T30-H0500-L2700;5601;2700;500;30
RS1-B-T30-H0500-L2800;5809;2800;500;30
RS1-B-T30-H0500-L2900;6016;2900;500;30
RS1-B-T30-H0500-L3000;6223;3000;500;30
RS1-B-T30-H0600-L0400;866;400;600;30
RS1-B-T30-H0600-L0500;1083;500;600;30
RS1-B-T30-H0600-L0600;1298;600;600;30
RS1-B-T30-H0600-L0700;1515;700;600;30
RS1-B-T30-H0600-L0800;1732;800;600;30
RS1-B-T30-H0600-L0900;1947;900;600;30
RS1-B-T30-H0600-L1000;2164;1000;600;30
RS1-B-T30-H0600-L1100;2381;1100;600;30
RS1-B-T30-H0600-L1200;2596;1200;600;30
RS1-B-T30-H0600-L1300;2813;1300;600;30
RS1-B-T30-H0600-L1400;3030;1400;600;30
RS1-B-T30-H0600-L1500;3247;1500;600;30
RS1-B-T30-H0600-L1600;3462;1600;600;30
RS1-B-T30-H0600-L1700;3679;1700;600;30
RS1-B-T30-H0600-L1800;3896;1800;600;30
RS1-B-T30-H0600-L1900;4111;1900;600;30
RS1-B-T30-H0600-L2000;4328;2000;600;30
RS1-B-T30-H0600-L2100;4545;2100;600;30
RS1-B-T30-H0600-L2200;4761;2200;600;30
RS1-B-T30-H0600-L2300;4977;2300;600;30
RS1-B-T30-H0600-L2400;5194;2400;600;30
RS1-B-T30-H0600-L2500;5411;2500;600;30
RS1-B-T30-H0600-L2600;5626;2600;600;30
RS1-B-T30-H0600-L2700;5843;2700;600;30
RS1-B-T30-H0600-L2800;6060;2800;600;30
RS1-B-T30-H0600-L2900;6276;2900;600;30
RS1-B-T30-H0600-L3000;6492;3000;600;30
RS1-B-T33-H0200-L0400;576;400;200;33
RS1-B-T33-H0200-L0500;720;500;200;33
RS1-B-T33-H0200-L0600;865;600;200;33
RS1-B-T33-H0200-L0700;1009;700;200;33
RS1-B-T33-H0200-L0800;1153;800;200;33
RS1-B-T33-H0200-L0900;1298;900;200;33
RS1-B-T33-H0200-L1000;1442;1000;200;33
RS1-B-T33-H0200-L1100;1586;1100;200;33
RS1-B-T33-H0200-L1200;1730;1200;200;33
RS1-B-T33-H0200-L1300;1874;1300;200;33
RS1-B-T33-H0200-L1400;2018;1400;200;33
RS1-B-T33-H0200-L1500;2162;1500;200;33
RS1-B-T33-H0200-L1600;2306;1600;200;33
RS1-B-T33-H0200-L1700;2450;1700;200;33
RS1-B-T33-H0200-L1800;2595;1800;200;33
RS1-B-T33-H0200-L1900;2739;1900;200;33
RS1-B-T33-H0200-L2000;2883;2000;200;33
RS1-B-T33-H0200-L2100;3027;2100;200;33
RS1-B-T33-H0200-L2200;3171;2200;200;33
RS1-B-T33-H0200-L2300;3315;2300;200;33
RS1-B-T33-H0200-L2400;3459;2400;200;33
RS1-B-T33-H0200-L2500;3603;2500;200;33
RS1-B-T33-H0200-L2600;3748;2600;200;33
RS1-B-T33-H0200-L2700;3892;2700;200;33
RS1-B-T33-H0200-L2800;4036;2800;200;33
RS1-B-T33-H0200-L2900;4180;2900;200;33
RS1-B-T33-H0200-L3000;4325;3000;200;33
RS1-B-T33-H0300-L0400;878;400;300;33
RS1-B-T33-H0300-L0500;1097;500;300;33
RS1-B-T33-H0300-L0600;1316;600;300;33
RS1-B-T33-H0300-L0700;1536;700;300;33
RS1-B-T33-H0300-L0800;1755;800;300;33
RS1-B-T33-H0300-L0900;1974;900;300;33
RS1-B-T33-H0300-L1000;2194;1000;300;33
RS1-B-T33-H0300-L1100;2413;1100;300;33
RS1-B-T33-H0300-L1200;2633;1200;300;33
RS1-B-T33-H0300-L1300;2852;1300;300;33
RS1-B-T33-H0300-L1400;3071;1400;300;33
RS1-B-T33-H0300-L1500;3291;1500;300;33
RS1-B-T33-H0300-L1600;3510;1600;300;33
RS1-B-T33-H0300-L1700;3729;1700;300;33
RS1-B-T33-H0300-L1800;3949;1800;300;33
RS1-B-T33-H0300-L1900;4168;1900;300;33
RS1-B-T33-H0300-L2000;4388;2000;300;33
RS1-B-T33-H0300-L2100;4607;2100;300;33
RS1-B-T33-H0300-L2200;4826;2200;300;33
RS1-B-T33-H0300-L2300;5046;2300;300;33
RS1-B-T33-H0300-L2400;5265;2400;300;33
RS1-B-T33-H0300-L2500;5484;2500;300;33
RS1-B-T33-H0300-L2600;5703;2600;300;33
RS1-B-T33-H0300-L2700;5922;2700;300;33
RS1-B-T33-H0300-L2800;6142;2800;300;33
RS1-B-T33-H0300-L2900;6361;2900;300;33
RS1-B-T33-H0300-L3000;6580;3000;300;33
RS1-B-T33-H0400-L0400;1125;400;400;33
RS1-B-T33-H0400-L0500;1406;500;400;33
RS1-B-T33-H0400-L0600;1687;600;400;33
RS1-B-T33-H0400-L0700;1969;700;400;33
RS1-B-T33-H0400-L0800;2250;800;400;33
RS1-B-T33-H0400-L0900;2531;900;400;33
RS1-B-T33-H0400-L1000;2812;1000;400;33
RS1-B-T33-H0400-L1100;3093;1100;400;33
RS1-B-T33-H0400-L1200;3375;1200;400;33
RS1-B-T33-H0400-L1300;3656;1300;400;33
RS1-B-T33-H0400-L1400;3937;1400;400;33
RS1-B-T33-H0400-L1500;4219;1500;400;33
RS1-B-T33-H0400-L1600;4500;1600;400;33
RS1-B-T33-H0400-L1700;4780;1700;400;33
RS1-B-T33-H0400-L1800;5062;1800;400;33
RS1-B-T33-H0400-L1900;5343;1900;400;33
RS1-B-T33-H0400-L2000;5625;2000;400;33
RS1-B-T33-H0400-L2100;5906;2100;400;33
RS1-B-T33-H0400-L2200;6187;2200;400;33
RS1-B-T33-H0400-L2300;6468;2300;400;33
RS1-B-T33-H0400-L2400;6749;2400;400;33
RS1-B-T33-H0400-L2500;7030;2500;400;33
RS1-B-T33-H0400-L2600;7312;2600;400;33
RS1-B-T33-H0400-L2700;7593;2700;400;33
RS1-B-T33-H0400-L2800;7875;2800;400;33
RS1-B-T33-H0400-L2900;8155;2900;400;33
RS1-B-T33-H0400-L3000;8436;3000;400;33
RS1-B-T33-H0500-L0400;1328;400;500;33
RS1-B-T33-H0500-L0500;1659;500;500;33
RS1-B-T33-H0500-L0600;1991;600;500;33
RS1-B-T33-H0500-L0700;2322;700;500;33
RS1-B-T33-H0500-L0800;2654;800;500;33
RS1-B-T33-H0500-L0900;2986;900;500;33
RS1-B-T33-H0500-L1000;3318;1000;500;33
RS1-B-T33-H0500-L1100;3650;1100;500;33
RS1-B-T33-H0500-L1200;3982;1200;500;33
RS1-B-T33-H0500-L1300;4313;1300;500;33
RS1-B-T33-H0500-L1400;4645;1400;500;33
RS1-B-T33-H0500-L1500;4977;1500;500;33
RS1-B-T33-H0500-L1600;5309;1600;500;33
RS1-B-T33-H0500-L1700;5641;1700;500;33
RS1-B-T33-H0500-L1800;5973;1800;500;33
RS1-B-T33-H0500-L1900;6304;1900;500;33
RS1-B-T33-H0500-L2000;6636;2000;500;33
RS1-B-T33-H0500-L2100;6967;2100;500;33
RS1-B-T33-H0500-L2200;7299;2200;500;33
RS1-B-T33-H0500-L2300;7631;2300;500;33
RS1-B-T33-H0500-L2400;7963;2400;500;33
RS1-B-T33-H0500-L2500;8295;2500;500;33
RS1-B-T33-H0500-L2600;8627;2600;500;33
RS1-B-T33-H0500-L2700;8959;2700;500;33
RS1-B-T33-H0500-L2800;9291;2800;500;33
RS1-B-T33-H0500-L2900;9622;2900;500;33
RS1-B-T33-H0500-L3000;9954;3000;500;33
RS1-B-T33-H0600-L0400;1414;400;600;33
RS1-B-T33-H0600-L0500;1768;500;600;33
RS1-B-T33-H0600-L0600;2122;600;600;33
RS1-B-T33-H0600-L0700;2475;700;600;33
RS1-B-T33-H0600-L0800;2829;800;600;33
RS1-B-T33-H0600-L0900;3182;900;600;33
RS1-B-T33-H0600-L1000;3536;1000;600;33
RS1-B-T33-H0600-L1100;3890;1100;600;33
RS1-B-T33-H0600-L1200;4243;1200;600;33
RS1-B-T33-H0600-L1300;4597;1300;600;33
RS1-B-T33-H0600-L1400;4950;1400;600;33
RS1-B-T33-H0600-L1500;5304;1500;600;33
RS1-B-T33-H0600-L1600;5657;1600;600;33
RS1-B-T33-H0600-L1700;6011;1700;600;33
RS1-B-T33-H0600-L1800;6365;1800;600;33
RS1-B-T33-H0600-L1900;6718;1900;600;33
RS1-B-T33-H0600-L2000;7072;2000;600;33
RS1-B-T33-H0600-L2100;7425;2100;600;33
RS1-B-T33-H0600-L2200;7779;2200;600;33
RS1-B-T33-H0600-L2300;8133;2300;600;33
RS1-B-T33-H0600-L2400;8486;2400;600;33
RS1-B-T33-H0600-L2500;8840;2500;600;33
RS1-B-T33-H0600-L2600;9193;2600;600;33
RS1-B-T33-H0600-L2700;9547;2700;600;33
RS1-B-T33-H0600-L2800;9901;2800;600;33
RS1-B-T33-H0600-L2900;10254;2900;600;33
RS1-B-T33-H0600-L3000;10608;3000;600;33
